11001858+1354045 165.07739 13.90123 234.38370 60.91314 7.417 677 N
11575616+5527128 179.48395 55.45355 138.17242 60.06352 7.417 1040 N
12352950-0347356 188.87294 -3.79321 295.22729 58.83973 7.429 1019 6
01312075-0652050 22.83648 -6.86806 149.80539 -67.63328 7.430 1872 6
12110436+5029048 182.76819 50.48468 138.47159 65.40834 7.435 774 N
12525604+1113508 193.23354 11.23080 304.27100 74.09857 7.437 984 N
12432013+0158422 190.83391 1.97836 298.17725 64.77522 7.457 1335 N
03011417+4453500 45.30903 44.89721 145.80962 -12.13159 7.469 1954 N
10031914+6844014 150.82976 68.73373 141.89977 41.66017 7.476 14 N
12324558+0006541 188.18994 0.11504 292.73700 62.61642 7.477 1128 N
12281111+4405368 187.04633 44.09356 136.85326 72.40086 7.485 207 N
10165363+7324023 154.22359 73.40069 136.29008 39.46334 7.489 2802 N
07235474-2731446 110.97812 -27.52906 241.01704 -5.69876 7.492 1782 N
12103265+3924207 182.63608 39.40576 155.07680 75.06339 7.493 995 N
02410480-0815209 40.26999 -8.25583 182.01952 -57.92550 7.499 1590 6
14201994+0356009 215.08311 3.93359 349.27325 58.56306 7.499 1507 N
12150502+3311500 183.77098 33.19728 173.03310 80.07881 7.504 1086 N
12303636+4138370 187.65154 41.64363 137.99504 74.86983 7.506 565 N
12450595+0303204 191.27489 3.05571 299.05731 65.87969 7.513 785 N
03365707-3530240 54.23773 -35.50664 236.82455 -53.94635 7.523 1265 6
11160468-7612587 169.01950 -76.21632 297.22565 -14.41233 7.524 1680 N
12395593+1010337 189.98309 10.17610 293.29901 72.83221 7.527 1870 N
03310811-3337431 52.78383 -33.62864 233.61246 -55.16779 7.531 1918 6
11210685+0314051 170.27855 3.23482 256.92532 57.79863 7.537 1251 N
12592127-1502318 194.83864 -15.04217 305.77713 47.78580 7.539 1353 N
14082374-4758149 212.09892 -47.97081 316.01474 12.93646 7.539 1415 6
03281966-3104054 52.08195 -31.06818 229.06860 -55.67808 7.540 1106 6
10180564+2149549 154.52351 21.83194 213.03577 54.84533 7.546 1271 N
12053418+5032205 181.39246 50.53903 140.33528 65.01120 7.548 757 N
13430212-4810097 205.75877 -48.16941 311.75131 13.81681 7.549 3004 6
09502223+7216431 147.59264 72.27865 139.01350 38.68297 7.552 1322 N
11143700+1249048 168.65417 12.81802 240.42807 63.21137 7.554 640 S
04124324-5744166 63.18019 -57.73796 268.40634 -43.54415 7.555 1148 6
12521756+1118491 193.07318 11.31366 303.70068 74.18404 7.569 1347 N
15011126+0142070 225.29694 1.70197 359.18188 49.84848 7.569 1972 N
12064076-2945366 181.66989 -29.76021 291.45978 32.11250 7.571 1884 6
13363905-3357572 204.16269 -33.96588 313.53830 27.97297 7.579 3737 N
08533275+5118489 133.38644 51.31358 167.32585 39.67995 7.587 692 N
11313199-3018278 172.88330 -30.30774 283.12933 29.47299 7.590 1776 6
19112363-5702584 287.84848 -57.04957 339.69598 -25.13367 7.590 3166 6
12342031+0811519 188.58463 8.19776 290.07153 70.64127 7.594 1964 N
13211286-4342168 200.30356 -43.70469 308.61121 18.83847 7.598 3421 N
04002774+6834398 60.11570 68.57774 138.83337 11.76279 7.599 1102 N
10474239+1359083 161.92667 13.98564 231.17854 58.31807 7.600 665 N
22571357-4323461 344.30655 -43.39614 350.23697 -61.80075 7.604 1689 6
12070312+4303554 181.76303 43.06539 149.53018 71.69686 7.605 807 N
15052627+0205576 226.35944 2.09932 0.72865 49.31937 7.605 1359 N
03235639-3627527 50.98499 -36.46466 238.77307 -56.51756 7.606 1266 6
12363429+1114190 189.14288 11.23863 289.81485 73.73051 7.614 2232 S
10181698+4125277 154.57077 41.42438 178.33508 55.63794 7.616 592 N
12012689+6153445 180.36205 61.89570 132.97951 54.24675 7.616 1445 N
23161076-4235053 349.04486 -42.58483 348.14471 -65.23586 7.620 1600 6
